sample,fastq_1,fastq_2,strandedness
SRR17736282,fastq/SRR17736282_1.fastq.gz,fastq/SRR17736282_3.fastq.gz,auto
SRR17736283,fastq/SRR17736283_1.fastq.gz,fastq/SRR17736283_3.fastq.gz,auto
SRR17736284,fastq/SRR17736284_1.fastq.gz,fastq/SRR17736284_3.fastq.gz,auto
SRR17736285,fastq/SRR17736285_1.fastq.gz,fastq/SRR17736285_3.fastq.gz,auto
SRR17736286,fastq/SRR17736286_1.fastq.gz,fastq/SRR17736286_3.fastq.gz,auto
SRR17736287,fastq/SRR17736287_1.fastq.gz,fastq/SRR17736287_3.fastq.gz,auto
SRR17736288,fastq/SRR17736288_1.fastq.gz,fastq/SRR17736288_3.fastq.gz,auto
SRR17736289,fastq/SRR17736289_1.fastq.gz,fastq/SRR17736289_3.fastq.gz,auto
SRR17736290,fastq/SRR17736290_1.fastq.gz,fastq/SRR17736290_3.fastq.gz,auto
SRR17736291,fastq/SRR17736291_1.fastq.gz,fastq/SRR17736291_3.fastq.gz,auto
SRR17736292,fastq/SRR17736292_1.fastq.gz,fastq/SRR17736292_3.fastq.gz,auto
SRR17736293,fastq/SRR17736293_1.fastq.gz,fastq/SRR17736293_3.fastq.gz,auto
SRR17736294,fastq/SRR17736294_1.fastq.gz,fastq/SRR17736294_3.fastq.gz,auto
SRR17736295,fastq/SRR17736295_1.fastq.gz,fastq/SRR17736295_3.fastq.gz,auto
SRR17736296,fastq/SRR17736296_1.fastq.gz,fastq/SRR17736296_3.fastq.gz,auto
SRR17736297,fastq/SRR17736297_1.fastq.gz,fastq/SRR17736297_3.fastq.gz,auto
SRR17736298,fastq/SRR17736298_1.fastq.gz,fastq/SRR17736298_3.fastq.gz,auto
SRR17736299,fastq/SRR17736299_1.fastq.gz,fastq/SRR17736299_3.fastq.gz,auto
SRR17736300,fastq/SRR17736300_1.fastq.gz,fastq/SRR17736300_3.fastq.gz,auto
SRR17736301,fastq/SRR17736301_1.fastq.gz,fastq/SRR17736301_3.fastq.gz,auto
SRR17736302,fastq/SRR17736302_1.fastq.gz,fastq/SRR17736302_3.fastq.gz,auto
SRR17736303,fastq/SRR17736303_1.fastq.gz,fastq/SRR17736303_3.fastq.gz,auto
SRR17736304,fastq/SRR17736304_1.fastq.gz,fastq/SRR17736304_3.fastq.gz,auto
SRR17736305,fastq/SRR17736305_1.fastq.gz,fastq/SRR17736305_3.fastq.gz,auto
SRR17736306,fastq/SRR17736306_1.fastq.gz,fastq/SRR17736306_3.fastq.gz,auto
SRR17736307,fastq/SRR17736307_1.fastq.gz,fastq/SRR17736307_3.fastq.gz,auto
SRR17736308,fastq/SRR17736308_1.fastq.gz,fastq/SRR17736308_3.fastq.gz,auto
SRR17736309,fastq/SRR17736309_1.fastq.gz,fastq/SRR17736309_3.fastq.gz,auto
SRR17736310,fastq/SRR17736310_1.fastq.gz,fastq/SRR17736310_3.fastq.gz,auto
SRR17736311,fastq/SRR17736311_1.fastq.gz,fastq/SRR17736311_3.fastq.gz,auto
SRR17736312,fastq/SRR17736312_1.fastq.gz,fastq/SRR17736312_3.fastq.gz,auto
SRR17736313,fastq/SRR17736313_1.fastq.gz,fastq/SRR17736313_3.fastq.gz,auto
SRR17736314,fastq/SRR17736314_1.fastq.gz,fastq/SRR17736314_3.fastq.gz,auto
SRR17736315,fastq/SRR17736315_1.fastq.gz,fastq/SRR17736315_3.fastq.gz,auto
SRR17736316,fastq/SRR17736316_1.fastq.gz,fastq/SRR17736316_3.fastq.gz,auto
SRR17736317,fastq/SRR17736317_1.fastq.gz,fastq/SRR17736317_3.fastq.gz,auto
SRR17736318,fastq/SRR17736318_1.fastq.gz,fastq/SRR17736318_3.fastq.gz,auto
SRR17736319,fastq/SRR17736319_1.fastq.gz,fastq/SRR17736319_3.fastq.gz,auto
SRR17736320,fastq/SRR17736320_1.fastq.gz,fastq/SRR17736320_3.fastq.gz,auto
SRR17736321,fastq/SRR17736321_1.fastq.gz,fastq/SRR17736321_3.fastq.gz,auto
SRR17736322,fastq/SRR17736322_1.fastq.gz,fastq/SRR17736322_3.fastq.gz,auto
SRR17736323,fastq/SRR17736323_1.fastq.gz,fastq/SRR17736323_3.fastq.gz,auto
SRR17736324,fastq/SRR17736324_1.fastq.gz,fastq/SRR17736324_3.fastq.gz,auto
SRR17736325,fastq/SRR17736325_1.fastq.gz,fastq/SRR17736325_3.fastq.gz,auto
SRR17736326,fastq/SRR17736326_1.fastq.gz,fastq/SRR17736326_3.fastq.gz,auto
SRR17736327,fastq/SRR17736327_1.fastq.gz,fastq/SRR17736327_3.fastq.gz,auto
SRR17736328,fastq/SRR17736328_1.fastq.gz,fastq/SRR17736328_3.fastq.gz,auto
SRR17736329,fastq/SRR17736329_1.fastq.gz,fastq/SRR17736329_3.fastq.gz,auto
SRR17736330,fastq/SRR17736330_1.fastq.gz,fastq/SRR17736330_3.fastq.gz,auto
SRR17736331,fastq/SRR17736331_1.fastq.gz,fastq/SRR17736331_3.fastq.gz,auto
SRR17736332,fastq/SRR17736332_1.fastq.gz,fastq/SRR17736332_3.fastq.gz,auto
SRR17736333,fastq/SRR17736333_1.fastq.gz,fastq/SRR17736333_3.fastq.gz,auto
SRR17736334,fastq/SRR17736334_1.fastq.gz,fastq/SRR17736334_3.fastq.gz,auto
SRR17736335,fastq/SRR17736335_1.fastq.gz,fastq/SRR17736335_3.fastq.gz,auto
